ID,Name,Article / Other Name,Description,AI Life Cycle Stage,High Level Principle,Associated Principles,Task,Level of Development,Sector,Tool Type,Programming Language,DOI / URL,Year,Authors / Owners,Other Links
191,Interpretable Machine Learning: A Guide for Making Black Box Models Explainable (First Edition),,,"Planning and design; Collection, understanding and preparation of data; Performance evaluation",Explicability; Explicability; Explicability,Explicability; Interpretability,Does not apply,"4,2",Academic,Book; Examples; Dataset; Guide,Python; R,https://originalstatic.aminer.cn/misc/pdf/Molnar-interpretable-machine-learning_compressed.pdf,2019,Christoph Molnar,https://christophm.github.io/interpretable-ml-book/
192,GDPR Toolkit,,,"Planning and design; Collection, understanding and preparation of data",Non-Maleficence; Non-Maleficence; Governance,Security; Safety; Privacy; Quality Data,Does not apply,"4,1",Public,Website; Tool Compendium; Resource Compendium,Does not apply,https://www.cnil.fr/en/gdpr-toolkit,2019,Commission Nationale de l'Informatique et des Libertés (CNIL),"https://gdpr.eu/data-protection-impact-assessment-template

https://commission.europa.eu/law/law-topic/data-protection/reform/rules-business-and-organisations/obligations/when-data-protection-impact-assessment-dpia-required_en

https://www.cnil.fr/en/privacy-impact-assessment-pia

https://gdpr.eu

https://link.springer.com/chapter/10.1007/978-3-030-55196-4_1"
193,DeepLIFT,Learning Important Features Through Propagating Activation Differences,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Computer Vision; Multi-class Classification; Binary Classification,4,Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1704.02685,2017,"Avanti Shrikumar, Peyton Greenside, Anshul Kundaje","https://github.com/kundajelab/deeplift

https://www.youtube.com/playlist?list=PLJLjQOkqSRTP3cLB2cOOi_bQFw6KPGKML"
194,RuleMatrix,RuleMatrix: Visualizing and Understanding Classifiers with Rules,,Model setup and training; Performance evaluation,Explicability; Explicability,Transparency; Explicability; Interpretability,Binary Classification; Multi-class Classification,"4,2",Academic,Article; Code,Python; JavaScript,https://doi.org/10.48550/arXiv.1807.06228,2018,"Yao Ming, Huamin Qu, Enrico Bertini",https://github.com/rulematrix/rule-matrix-py
195,DeepExplain,Towards better understanding of gradient-based attribution methods for Deep Neural Networks,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision; Binary Classification; Multi-class Classification; Natural Language Processing,"4,3",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1711.06104,2018,"Marco Ancona, Enea Ceolini, Cengiz Öztireli, Markus Gross",https://github.com/marcoancona/DeepExplain
196,PiML,PiML: An integrated Python toolbox for interpretable machine learning,,"Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Non-Maleficence; Justice; Justice; Explicability,Explicability; Interpretability; Fairness; Reliability,Regression; Binary Classification; Multi-class Classification,"4,5",Academic,Article; Code,Python,https://arxiv.org/abs/2305.04214v1,2022,"Agus Sudjianto, Aijun Zhang, Zebin Yang, Yu Su, Ningzhou Zeng","https://github.com/SelfExplainML/PiML-Toolbox

https://selfexplainml.github.io/PiML-Toolbox/_build/html/index.html"
197,Concrete ML,Concrete ML: a Privacy-Preserving Machine Learning Library using Fully Homomorphic Encryption for Data Scientists,,Model setup and training; Performance evaluation,Non-Maleficence; Non-Maleficence,Privacy; Security; Reliability,Computer Vision; Binary Classification; Regression; Multi-class Classification,"4,5",Private,Code; Website,Python,https://github.com/zama-ai/concrete-ml,2022,"Arthur Meyre, Benoit Chevallier-Mames, Jordan Frery, Andrei Stoian, Roman Bredehoft, Luis Montero, Celia Kherfallah",https://docs.zama.ai/concrete-ml
198,MPyC,MPyC: Multiparty Computation in Python,,"Collection, understanding and preparation of data; Model setup and training",Non-Maleficence; Non-Maleficence,Security; Privacy,Does not apply,4,Academic,Code,Python,https://github.com/lschoe/mpyc,2018,Berry Schoenmakers,https://mpyc.readthedocs.io/en/latest/
199,Assessment List for Trustworthy Artificial Intelligence (ALTAI),,,Businness and problem understanding; Planning and design,Beneficence; Beneficence; Governance,Responsibility; Social Good; Well-being; Trust,Does not apply,4,Private; Public,Website; Practical Framework; Principles,Does not apply,https://futurium.ec.europa.eu/en/european-ai-alliance/pages/welcome-altai-portal,2020,"European AI Alliance, AI HLEG",https://altai.insight-centre.org/
200,capAI - A Procedure for Conducting Conformity Assessment of AI Systems in Line with the EU Artificial Intelligence Act,capAI - A Procedure for Conducting Conformity Assessment of AI Systems in Line with the EU Artificial Intelligence Act,,Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence; Governance,Responsibility; Social Good; Well-being; Trust; Accountability,Does not apply,"4,2",Academic,Article; Guide; Resource Compendium,Does not apply,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4064091,2022,"Luciano Floridi, Matthias Holweg, Mariarosaria Taddeo, Javier Amaya Silva, Jakob Mökander, Yuni Wen",https://artificialintelligenceact.eu/assessment/
201,RES,RES: A Robust Framework for Guiding Visual Explanation,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision,4,Academic,Code; Article,Python,https://doi.org/10.1145/3534678.3539419,2022,"Yuyang Gao, Tong Steven Sun, Guangji Bai, Siyi Gu, Sungsoo Ray Hong, Zhao Liang","https://github.com/YuyangGao/RES

https://www.researchgate.net/publication/361204389_RES_A_Robust_Framework_for_Guiding_Visual_Explanation"
202,PyTorch library for CAM methods,Advanced AI explainability for PyTorch,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision,"4,3",Academic,Code; Examples,Python,https://github.com/jacobgil/pytorch-grad-cam,2021,"Jacob Gildenblat, Contributors",https://blog.aiensured.com/gradcam-plus-plus/
203,TorchCAM: class activation explorer,,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision,"4,2",Academic,Code; Examples,Python,https://github.com/frgfm/torch-cam,2020,François-Guillaume Fernandez,https://frgfm.github.io/torch-cam/
204,Diffprivlib,Diffprivlib: The IBM Differential Privacy Library,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Non-Maleficence; Non-Maleficence; Non-Maleficence,Privacy; Security; Reliability,Binary Classification; Clustering; Dimensionality Reduction; Regression,"4,3",Private,Article; Code,Python,https://doi.org/10.48550/arXiv.1907.02444,2019,"Naoise Holohan, Stefano Braghin, Pól Mac Aonghusa, Killian Levacher",https://github.com/IBM/differential-privacy-library
205,Artificial Intelligence Act - EU,REGULATION OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL LAYING DOWN HARMONISED RULES ON ARTIFICIAL INTELLIGENCE (ARTIFICIAL INTELLIGENCE ACT) AND AMENDING CERTAIN UNION LEGISLATIVE ACTS,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice; Governance,Human Rights; Responsibility; Social Good; Well-being; Trust; Reliability; Auditability,Does not apply,Does not apply,Public,Law,Does not apply,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:52021PC0206,2021,European Comission,https://link.springer.com/article/10.1007/s11023-021-09577-4
206,Activation Maximization,,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision,"3,8",Academic,Code,Python,https://github.com/Nguyen-Hoa/Activation-Maximization,2020,Nguyen Hoa,https://doi.org/10.48550/arXiv.1506.06579
207,Keras-Vis,Keras Visualization Toolkit,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision,"4,1",Academic,Code,Python,https://github.com/raghakot/keras-vis,2017,"Raghavendra Kotikalapudi, Contributors",
208,The LRP Toolbox for Artificial Neural Networks,,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision; Multi-class Classification; Natural Language Processing,"4,3",Academic,Code; Article,Python; MATLAB,https://jmlr.org/papers/v17/15-618.html,2016,"Sebastian Lapuschkin, Alexander Binder, Grégoire Montavon, Klaus-Robert Müller, Wojciech Samek","https://github.com/sebastian-lapuschkin/lrp_toolbox

https://lrpserver.hhi.fraunhofer.de/

https://github.com/sebastian-lapuschkin/lrp_toolbox/blob/master/doc/manual/manual.pdf"
209,"Zennit, CoRelAy, and ViRelAy","Software for Dataset-wide XAI: From Local Explanations to Global Insights with Zennit, CoRelAy, and ViRelAy",,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Explicability; Explicability; Explicability,Explicability; Interpretability,Computer Vision; Clustering,"4,3",Academic,Code; Article; Program,Python,https://doi.org/10.48550/arXiv.2106.13200,2021,"Christopher J. Anders, David Neumann, Wojciech Samek, Klaus-Robert Müller, Sebastian Lapuschkin","https://github.com/chr5tphr/zennit

https://github.com/virelay/corelay

https://github.com/virelay/virelay"
210,Examining the Black Box: Tools for assessing algorithmic systems,,,Businness and problem understanding; Planning and design,Non-Maleficence; Justice,Privacy; Reliability; Auditability; Fairness; Prevention,Does not apply,4,Public,Report; Resource Compendium; Guide,Does not apply,https://www.adalovelaceinstitute.org/report/examining-the-black-box-tools-for-assessing-algorithmic-systems/,2020,"Ada Lovelace Institute, DataKind UK",
211,The algorithm audit: Scoring the algorithms that score us,The algorithm audit: Scoring the algorithms that score us,,Businness and problem understanding; Planning and design,Non-Maleficence; Justice,Prevention; Reliability; Privacy; Auditability,Does not apply,Does not apply,Academic,Article; Practical Framework,Does not apply,https://doi.org/10.1177/2053951720983865,2021,"Shea Brown, Jovana Davidovic, Ali Hasan ",
212,Guidance on the AI auditing framework,,,"Planning and design; Collection, understanding and preparation of data; Collection, understanding and preparation of data",Beneficence; Non-Maleficence; Justice; Governance,Accountability; Transparency; Reliability; Security; Privacy; Safety; Fairness,Does not apply,4,Public,Guide; Theoretical Framework; Resource Compendium; Examples,Does not apply,https://ico.org.uk/media/2617219/guidance-on-the-ai-auditing-framework-draft-for-consultation.pdf,2020,Information Commissioner's Office (ICO),
213,"Artificial Intelligence: detailed guide and resources for businesses in the public, private and third sectors",,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data",Beneficence; Non-Maleficence; Justice,Human Rights; Social Good; Privacy; Safety; Auditability; Prevention,Does not apply,"4,2",Public,Website; Guide; Resource Compendium,Does not apply,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/,2022,Information Commissioner's Office (ICO),"https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/

https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/explaining-decisions-made-with-artificial-intelligence/

https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/ai-and-data-protection-risk-toolkit/

https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/toolkit-for-organisations-considering-using-data-analytics/"
214,BertViz,A Multiscale Visualization of Attention in the Transformer Model,,Performance evaluation,Explicability,Explicability; Interpretability,Natural Language Processing,"4,2",Academic,Article; Code,Python,https://doi.org/10.18653/v1/P19-3007,2019,Jesse Vig,https://github.com/jessevig/bertviz
215,tf-explain,tf-explain: Interpretability Methods for tf.keras models with TensorFlow 2.x,,Model setup and training; Performance evaluation,Explicability; Explicability,Interpretability,Computer Vision,"4,1",Academic,Code,Python,https://doi.org/10.5281/zenodo.5711704,2021,Raphael Meudec,https://github.com/sicara/tf-explain
216,InterpretDL,InterpretDL: Explaining Deep Models in PaddlePaddle,,"Collection, understanding and preparation of data; Performance evaluation",Explicability; Explicability,Interpretability,Computer Vision; Natural Language Processing,"4,3",Academic,Article; Code,Python,http://jmlr.org/papers/v23/21-0738.html,2022,"Xuhong Li, Haoyi Xiong, Xingjian Li, Xuanyu Wu, Zeyu Chen, Dejing Dou",https://github.com/PaddlePaddle/InterpretDL
217,Mondrian,,,"Collection, understanding and preparation of data",Non-Maleficence,Security; Privacy; Safety,Does not apply,"3,9",Academic,Code,Python; Java,https://github.com/qiyuangong/Mondrian,2017,"Qiyuan Gong, Liu Kun","https://ftp.cs.wisc.edu/pub/techreports/2005/TR1521.pdf

http://cs.utdallas.edu/dspl/cgi-bin/toolbox/index.php?go=home

https://github.com/arx-deidentifier/arx"
218,K-Anonymity,,,"Collection, understanding and preparation of data",Non-Maleficence,Security; Privacy; Safety,Does not apply,"3,9",Academic,Code; Examples,Python,https://github.com/Nuclearstar/K-Anonymity,2019,Nithin Prabhu,"https://github.com/glassonion1/anonypy

https://github.com/leo-mazz/crowds"
219,Anonymization,,,"Collection, understanding and preparation of data",Non-Maleficence,Security; Privacy; Safety,Does not apply,"3,9",Private,Code,Python,https://github.com/Smile-SA/anonymization,2019,Smile - Open Source Solutions,
220,CryptoDL,,,Model setup and training,Non-Maleficence,Security; Privacy; Safety,Regression; Multi-class Classification; Computer Vision; Natural Language Processing,4,Academic,Code,C++,https://github.com/inspire-lab/CryptoDL,2020,INSPIRE Lab,
221,SDV (Synthetic Data Vault),The Synthetic Data Vault,,"Collection, understanding and preparation of data",Non-Maleficence,Security; Privacy; Safety; Reliability,Does not apply,"4,5",Academic,Article; Code,Python,https://doi.org/10.1109/DSAA.2016.49,2016,"Neha Patki, Roy Wedge, Kalyan Veeramachaneni","https://github.com/sdv-dev/SDV

https://dai.lids.mit.edu/wp-content/uploads/2018/03/SDV.pdf"
222,VisioRed,Interactive UI Tool for Interpretable Time Series Forecasting called VisioRed,,Performance evaluation,Explicability,Interpretability,Regression; Multi-class Classification; Time Series,"4,1",Academic,Program,Python,https://github.com/intelligence-csd-auth-gr/Interpretable-Predictive-Maintenance,2021,"Spyridon Paraschos, Ioannis Mollas, Grigorios Tsoumakas, Nick Bassiliades",https://intelligence.csd.auth.gr/wp-content/uploads/2021/03/Elevating_Interpretable_Predictive_Maintenance_through_VisioRed_and_iPCA.pdf
223,The TAILOR Handbook of Trustworthy AI,,,Businness and problem understanding; Businness and problem understanding; Planning and design; Planning and design; Planning and design,Beneficence; Non-Maleficence; Autonomy; Justice; Explicability,Social Good; Trust; Responsibility; Sustainability; Security; Privacy; Safety; Quality Data; Reliability; Agency; Fairness; Auditability; Transparency; Explicability; Interpretability,Does not apply,"4,3",Public; Academic,Book; Resource Compendium; Tool Compendium,Does not apply,http://tailor.isti.cnr.it/handbookTAI/TAILOR.html,2022,"Umberto Straccia, Francesca Pratesi, Riccardo Albertoni, Tristan Allard, Guilherme Alves, Alejandra Bringas Colmenarejo, Stefan Buijsman, Pablo A. M. Casares, Sara Colantonio, Miguel Couceiro, Santiago Escobar, Gabriel Gonzalez-Castañé, Riccardo Guidotti, Fredrik Heintz, Jose Hernandez-Orallo, Sietze Kuilman, Karima Makhlouf, Fernando Martinez-Plumed, Anna Monreale, Roberto Pellungrini, Francesca Pratesi, Resmi Ramachandran Pillai, Andrea Rossi, Marie-Christine Rousset, Salvatore Ruggieri, Luciano C. Siebert, Piotr Skrzypczyński, Jerzy Stefanowski, Barry O'Sullivan, Andrea Visentin, Arkady Zgonnikov, Sami Zhioua",
224,OpenXAI,OpenXAI: Towards a Transparent Evaluation of Model Explanations,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Non-Maleficence; Justice; Explicability,Explicability; Interpretability; Fairness; Reproducibility; Transparency,Binary Classification,"4,1",Academic,Code; Article; Dataset,Python,https://doi.org/10.48550/arXiv.2206.11104,2022,"Chirag Agarwal, Satyapriya Krishna, Eshika Saxena, Martin Pawelczyk, Nari Johnson, Isha Puri, Marinka Zitnik, Himabindu Lakkaraju","https://github.com/AI4LIFE-GROUP/OpenXAI

https://open-xai.github.io/"
225,Xplique,Xplique: A Deep Learning Explainability Toolbox,,Performance evaluation,Explicability,Explicability; Interpretability,Computer Vision; Regression; Multi-class Classification,"4,2",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.2206.04394,2022,"Thomas Fel, Lucas Hervier, David Vigouroux, Antonin Poche, Justin Plakoo, Remi Cadene, Mathieu Chalvidal, Julien Colin, Thibaut Boissin, Louis Bethune, Agustin Picard, Claire Nicodeme, Laurent Gardes, Gregory Flandin, Thomas Serre",https://github.com/deel-ai/xplique
226,TorchEsegeta,TorchEsegeta: Framework for Interpretability and Explainability of Image-based Deep Learning Models,,Model setup and training; Performance evaluation,Explicability; Explicability,Explicability; Interpretability,Computer Vision; Multi-class Classification,"4,1",Academic,Code; Article,Python,https://doi.org/10.3390/app12041834,2022,"Soumick Chatterjee, Arnab Das, Chirag Mandal, Budhaditya Mukhopadhyay, Manish Vipinraj, Aniruddh Shukla, Rajatha Nagaraja Rao, Chompunuch Sarasaen, Oliver Speck, Andreas Nürnberger",https://github.com/soumickmj/TorchEsegeta
227,NeuroCartography,NeuroCartography: Scalable Automatic Visual Summarization of Concepts in Deep Neural Networks,,Performance evaluation,Explicability,Interpretability,Computer Vision; Multi-class Classification,"4,3",Academic,Code; Program; Article,Python,https://doi.org/10.48550/arXiv.2108.12931,2021,"Haekyu Park, Nilaksh Das, Rahul Duggal, Austin P. Wright, Omar Shaikh, Fred Hohman, Duen Horng Chau",https://github.com/poloclub/neuro-cartography
228,explainX,explainX: Explainable AI Framework for Data Scientists,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Explicability,Interpretability; Explicability; Fairness,Binary Classification; Regression; Multi-class Classification,"4,3",Academic,Code,Python,https://github.com/explainX/explainx,2020,"Ali Al-Ebrahim, Raheel Ahmad, Muddassar Sharif, Tawab Shakeel, Debarshi Chanda","https://github.com/explainX/Visual-Counterfactuals

https://github.com/explainX/Surrogate-Rule-Exploration-Method"
229,imbalanced-learn,Imbalanced-learn: A Python Toolbox to Tackle the Curse of Imbalanced Datasets in Machine Learning,,"Collection, understanding and preparation of data; Collection, understanding and preparation of data",Justice; Non-Maleficence,Fairness; Quality Data,Binary Classification; Multi-class Classification,"4,5",Academic,Code; Article,Python,https://jmlr.org/papers/v18/16-365.html,2017,"Guillaume Lemaitre, Fernando Nogueira, Christos K. Aridas","https://github.com/scikit-learn-contrib/imbalanced-learn

https://imbalanced-learn.org/stable/"
230,The Aletheia Framework,,,Businness and problem understanding; Planning and design; Planning and design,Beneficence; Non-Maleficence; Justice; Governance,Social Good; Well-being; Responsibility; Trust; Reliability; Transparency; Accountability; Fairness,Does not apply,4,Private,Website; Resource Compendium; Tool Compendium; Practical Framework,Does not apply,https://www.rolls-royce.com/innovation/the-aletheia-framework.aspx,2021,Rolls-Royce,https://www.rolls-royce.com/media/press-releases/2020/14-12-2020-trustworthy-artificial-intelligence-rolls-royce-publishes-pioneering-bias-control.aspx
231,Artificial Intelligence Risk Management Framework,,,Businness and problem understanding; Businness and problem understanding; Planning and design,Beneficence; Non-Maleficence; Justice; Governance,Prevention; Reliability; Social Good; Responsibility; Sustainability; Trust; Fairness,Does not apply,"4,3",Public,Practical Framework; Playbook; Resource Compendium,Does not apply,https://airc.nist.gov/AI_RMF_Knowledge_Base/AI_RMF,2021,National Institute of Standards and Technology (NIST),"https://doi.org/10.6028/NIST.AI.100-1

https://airc.nist.gov/AI_RMF_Knowledge_Base/Playbook

https://www.nist.gov/itl/ai-risk-management-framework

https://www.nist.gov/video/introduction-nist-ai-risk-management-framework-ai-rmf-10-explainer-video"
232,Confronting Bias: BSA’s Framework to Build Trust in AI,,,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Beneficence; Non-Maleficence; Justice; Justice; Non-Maleficence,Social Good; Trust; Fairness; Auditability; Accountability,Does not apply,"4,3",Private,Practical Framework; Resource Compendium; Report,Does not apply,https://ai.bsa.org/confronting-bias-bsas-framework-to-build-trust-in-ai,2021,BSA - The Software Alliance,"https://ai.bsa.org/wp-content/uploads/2021/06/2021bsaaibias.pdf

https://ai.bsa.org/wp-content/uploads/2021/06/2021bsaaibiasframework.pdf"
233,Model Cards for Model Reporting,Model Cards for Model Reporting,,Performance evaluation; Deployment and monitoring,Explicability; Non-Maleficence,Transparency; Accountability; Traceability,Does not apply,"4,4",Private; Academic,Practical Framework; Article,Does not apply,https://doi.org/10.48550/arXiv.1810.03993,2018,"Margaret Mitchell, Simone Wu, Andrew Zaldivar, Parker Barnes, Lucy Vasserman, Ben Hutchinson, Elena Spitzer, Inioluwa Deborah Raji, Timnit Gebru","https://modelcards.withgoogle.com/about

https://www.tensorflow.org/responsible_ai/model_card_toolkit/guide

https://cloud.google.com/blog/products/ai-machine-learning/create-a-model-card-with-scikit-learn"
234,Datasheets for Datasets,Datasheets for Datasets,,"Collection, understanding and preparation of data; Deployment and monitoring",Non-Maleficence; Explicability,Transparency; Accountability; Traceability,Does not apply,"4,4",Private; Academic,Article; Practical Framework,Does not apply,https://doi.org/10.48550/arXiv.1803.09010,2018,"Timnit Gebru, Jamie Morgenstern, Briana Vecchione, Jennifer Wortman Vaughan, Hanna Wallach, Hal Daumé III, Kate Crawford","https://www.overleaf.com/latex/templates/datasheet-for-dataset-template/ztkyvzddvxtd

https://github.com/AudreyBeard/Datasheets-for-Datasets-Template"
235,Synthetic Data Showcase,,,"Collection, understanding and preparation of data",Non-Maleficence,Security; Privacy; Safety; Reliability,Does not apply,"4,4",Private,Website; Code; Program,Rust; Python; TypeScript,https://github.com/microsoft/synthetic-data-showcase,2020,Microsoft,https://microsoft.github.io/synthetic-data-showcase/
236,G-PATE,G-PATE: Scalable Differentially Private Data Generator via Private Aggregation of Teacher Discriminators,,"Collection, understanding and preparation of data; Model setup and training",Non-Maleficence; Non-Maleficence,Security; Privacy; Safety; Reliability,Computer Vision,"4,1",Academic,Article; Code,Python,https://doi.org/10.48550/arXiv.1906.09338,2021,"Yunhui Long, Boxin Wang, Zhuolin Yang, Bhavya Kailkhura, Aston Zhang, Carl A. Gunter, Bo Li",https://github.com/AI-secure/G-PATE
237,CrypTen,CrypTen: Secure Multi-Party Computation Meets Machine Learning,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Non-Maleficence; Non-Maleficence; Non-Maleficence,Security; Privacy; Safety; Reliability,Computer Vision; Natural Language Processing; Multi-class Classification,"4,4",Private,Code; Article,Python,https://doi.org/10.48550/arXiv.2109.00984,2021,"Brian Knott, Shobha Venkataraman, Awni Hannun, Shubho Sengupta, Mark Ibrahim, Laurens van der Maaten",https://github.com/facebookresearch/CrypTen
238,CrypTFlow,CrypTFlow: Secure TensorFlow Inference,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Non-Maleficence; Non-Maleficence; Non-Maleficence,Security; Privacy; Safety; Reliability,Computer Vision; Multi-class Classification; Regression,"4,3",Private; Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1909.07814,2020,"Nishant Kumar, Mayank Rathee, Nishanth Chandran, Divya Gupta, Aseem Rastogi, Rahul Sharma","https://github.com/mpc-msri/EzPC

https://pratik-bhatu.medium.com/privacy-preserving-machine-learning-for-healthcare-using-cryptflow-cc6c379fbab7

https://youtu.be/53rxhEmDqQk"
239,Explaining Machine Learning Algorithms,,,Planning and design,Explicability,Explicability; Interpretability,Does not apply,"4,1",Academic,Website; Resource Compendium,Does not apply,https://explainableairesearch.github.io/,2022,Avinash Bhat,
240,Bias Scan Tool,,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Justice,Fairness; Auditability,Binary Classification,4,NGO,Website; Code,Python,https://www.algorithmaudit.eu/bias_scan/,2022,NGO Algorithm Audit,"https://github.com/NGO-Algorithm-Audit/Bias_scan

https://github.com/NGO-Algorithm-Audit/Bias_scan/blob/master/Technical_documentation_bias_scan.pdf"
241,ExplainerDashboard,,,Performance evaluation,Explicability,Explicability; Interpretability,Regression; Binary Classification; Multi-class Classification,"4,4",Academic,Code,Python,https://doi.org/10.5281/zenodo.6407092,2020,Oege Dijk,"https://github.com/oegedijk/explainerdashboard

http://titanicexplainer.herokuapp.com/"
242,PLOT4ai,Privacy Library Of Threats 4 Artificial Intelligence (PLOT4ai),,"Businness and problem understanding; Planning and design; Collection, understanding and preparation of data; Model setup and training; Performance evaluation; Deployment and monitoring",Beneficence; Autonomy; Non-Maleficence; Justice; Explicability; Non-Maleficence,Social Good; Well-being; Responsibility; Trust; Privacy; Security; Safety; Quality Data; Reliability; Prevention; Fairness; Trade-offs; Explicability; Interpretability,Does not apply,"4,4",Academic,Website; Resource Compendium; Tool Compendium,Does not apply,https://plot4.ai/,2022,Isabel Barberá,"https://plot4.ai/how-does-it-work

https://plot4.ai/assessments/quick-check

https://plot4.ai/library"
243,Lucid,,,"Collection, understanding and preparation of data; Performance evaluation",Explicability; Explicability,Interpretability,Computer Vision,"4,2",Academic,Code; Examples; Resource Compendium,Python,https://github.com/tensorflow/lucid,2018,TensorFlow Community,
244,APPFL,APPFL: Open-Source Software Framework for Privacy-Preserving Federated Learning,,Model setup and training,Non-Maleficence,Security; Privacy; Safety; Reliability,Computer Vision,"4,1",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.2202.03672,2022,"Minseok Ryu, Youngdae Kim, Kibaek Kim, Ravi K. Madduri","https://github.com/APPFL/APPFL

https://appfl.readthedocs.io/en/stable/"
245,NLP Test,NLP Test: Deliver Safe & Effective Language Models,,"Collection, understanding and preparation of data; Performance evaluation",Non-Maleficence; Justice,Safety; Reliability; Fairness; Auditability,Natural Language Processing,"4,4",Private,Code; Website,Python,https://github.com/JohnSnowLabs/nlptest,2022,John Snow Labs,https://nlptest.org/
246,multi-imbalance,multi-imbalance: Open Source Python Toolbox for Multi-class Imbalanced Classification,,"Collection, understanding and preparation of data; Performance evaluation",Justice; Non-Maleficence,Fairness; Quality Data; Reliability,Multi-class Classification,"4,2",Academic,Code; Article,Python,https://doi.org/10.1007/978-3-030-67670-4_36,2021,"Jacek Grycza, Damian Horna, Hanna Klimczak, Mateusz Lango, Kamil Pluciński, Jerzy Stefanowski ","https://github.com/damian-horna/multi-imbalance

http://www.cs.put.poznan.pl/mlango/publications/multiimbalance/

https://sci-hub.ru/10.1007/978-3-030-67670-4_36"
247,Ensemble Classifiers for Imbalanced Dataset,,,Model setup and training,Justice,Fairness,Binary Classification,"3,8",Academic,Code,Python,https://github.com/hmohebbi/ensembleforImbalance,2020,Hosein Mohebbi,https://github.com/bharlow058/SMOTE-Variants
248,Equalization Ensemble method (EASE),Equalization ensemble for large scale highly imbalanced data classification,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Justice; Non-Maleficence; Non-Maleficence,Fairness; Quality Data; Reliability,Binary Classification,4,Academic,Code; Article,Python,https://doi.org/10.1016/j.knosys.2022.108295,2022,"Jinjun Ren, Yuping Wang, Mingqian Mao, Yiu-ming Cheung",https://github.com/JinJunRen/EASE
249,Self-paced Ensemble (SPE),Self-paced Ensemble for Highly Imbalanced Massive Data Classification,,"Collection, understanding and preparation of data; Model setup and training; Performance evaluation",Justice; Non-Maleficence; Non-Maleficence,Fairness; Quality Data; Reliability,Multi-class Classification; Computer Vision,"4,3",Academic,Code; Article,Python,https://doi.org/10.48550/arXiv.1909.03500,2019,"Zhining Liu, Wei Cao, Zhifeng Gao, Jiang Bian, Hechang Chen, Yi Chang, Tie-Yan Liu",https://github.com/ZhiningLiu1998/self-paced-ensemble
250,Singular Vector Canonical Correlation Analysis (SVCCA),SVCCA: Singular Vector Canonical Correlation Analysis for Deep Learning Dynamics and Interpretability,,Performance evaluation,Explicability,Interpretability,Computer Vision; Dimensionality Reduction,4,Academic; Private,Code; Article,Python,https://doi.org/10.48550/arXiv.1706.05806,2017,"Maithra Raghu, Justin Gilmer, Jason Yosinski, Jascha Sohl-Dickstein",https://github.com/google/svcca
251,Network Dissection,Network Dissection: Quantifying Interpretability of Deep Visual Representations,,Performance evaluation,Explicability,Interpretability,Computer Vision,"4,2",Academic,Article; Code; Website,Python,https://doi.org/10.1109/CVPR.2017.354,2017,"Bolei Zhou, David Bau, Aude Oliva, Antonio Torralba","https://github.com/CSAILVision/NetDissect

http://netdissect.csail.mit.edu/

http://netdissect.csail.mit.edu/final-network-dissection.pdf"
